objectid,parentid,title,subject,location,latitude,longitude,type,language,type,format,display_template,object_location,image_small,description
1,,Violette Bule,Multidisciplinary art,"Houston, Texas",29.76042,-95.3698,Text,eng,,,,,,
2,,Lexi Parra,Photography; photojournalism,"Caracas, Venezuela; New York, New York",10.48059,-66.9036,Text,eng,Image;StillImage,image/jpg,multiple,/objects/parra_ca-1-2.jpg,/objects/small/parra_ca-1-2_small.jpg,"Lexi Parra is a Venezuelan-American photographer and community educator based between Caracas and New York. Her work focuses on youth culture, the personal effects of inequality and violence, and themes of resilience. Photos provided by the artist from her personal archive and ongoing work on ballroom and queer culture in Venezuela. All rights reserved by Lexi Parra. Prints and image licensing are available upon request. For more information, please visit her online portfolio site <a href=""https://www.lexiparra.com/"">here.</a>"
3,2,Lexi Parra,Photography; photojournalism,"Caracas, Venezuela; New York, New York",40.71277,-74.00597,Text,eng,Image;StillImage,image/jpg,image,/objects/lexiparra_ca-1-2.jpg,/objects/small/lexiparra_ca-1-2_small.jpg,Photos from the artist's personal archive and ongoing work on ballroom and queer culture in Venezuela. All rights reserved by Lexi Parra. More information on her portfolio site: https://www.lexiparra.com/
4,2,Lexi Parra,Photography; photojournalism,"Caracas, Venezuela; New York, New York",,,Text,eng,Image;StillImage,image/jpg,image,/objects/parra_ca-1-2.jpg,/objects/small/parra_ca-1-2_small.jpg,Photos from the artist's personal archive and ongoing work on ballroom and queer culture in Venezuela. All rights reserved by Lexi Parra. More information on her portfolio site: https://www.lexiparra.com/
5,,Daniel Arzola,Artivist; visual art,"Minneapolis, MN",44.97775,-93.26501,Text,eng,,,,,,
6,,Cassandra Mayela,Textile art,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
7,,Deborah Castillo,Performance; photography; sculpture; installation,"Mexico City, Mexico",19.4326,-99.1332,Text,eng,,,,,,
8,,Miguel Braceli,Multidisciplinary art; architecture,"Brooklyn, New York",40.67817,-73.94415,Text,eng,,,,,,
9,,Amalia Caputo,Visual art,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
10,,José Joaquin Figueroa,Drawing; photography; sculpture,"Oakland, California",37.80435,-122.27116,Text,eng,,,,,,
11,,Fabiola Ferrero,Photography; photojournalism,"Bogotá, Colombia",4.71098,-74.07209,Text,eng,,,,,,
12,,Andrés Pérez,Photography; visual art,"Bogotá, Colombia",4.71098,-74.07209,Text,eng,,,,,,
13,,Elena Cardona,Photography; poetry,"Riverside, California",33.9806,-117.37549,Text,eng,,,,,,
14,,Veronica Sanchis Bencomo,Photography,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
15,,Alejandra Ghersi Rodríguez,Multidisciplinary art; music production; performance,"Barcelona, Spain",41.38739,2.16856,Text,eng,,,,,,
